Member_number,itemDescription,Date,Category
4667,yogurt,01-01-2024,Other
6315,whole milk,01-01-2024,Beverages
2115,dessert,01-01-2024,Meat
3834,root vegetables,01-01-2024,Dairy
1960,whole milk,01-01-2024,Meat
1451,shopping bags,01-01-2024,Other
9530,other vegetables,01-01-2024,Other
6700,whipped/sour cream,01-01-2024,Other
3626,salty snack,01-01-2024,Dairy
4965,curd,01-01-2024,Other
1536,shopping bags,01-01-2024,Other
9770,whole milk,01-01-2024,Other
3178,cling film/bags,01-01-2024,Dairy
1930,long life bakery product,01-01-2024,Other
3194,soda,01-01-2024,Meat
9376,flower (seeds),01-01-2024,Other
8213,nuts/prunes,01-01-2024,Other
2939,whipped/sour cream,01-01-2024,Dairy
8874,curd,01-01-2024,Other
8839,whole milk,01-01-2024,Other
3077,frozen meals,01-01-2024,Other
5523,pastry,01-01-2024,Other
4081,other vegetables,01-01-2024,Other
5031,pastry,01-01-2024,Other
1500,citrus fruit,01-01-2024,Dairy
9958,ham,01-01-2024,Other
1188,finished products,01-01-2024,Other
1450,yogurt,01-01-2024,Other
2175,bottled water,01-01-2024,Other
3919,meat,01-01-2024,Other
8283,pork,01-01-2024,Other
2897,margarine,01-01-2024,Other
6581,root vegetables,01-01-2024,Dairy
5211,whole milk,01-01-2024,Other
8139,whole milk,01-01-2024,Other
3798,other vegetables,01-01-2024,Canned Goods
5557,yogurt,01-01-2024,Other
9878,dog food,01-01-2024,Other
4333,other vegetables,01-01-2024,Meat
8430,seasonal products,01-01-2024,Other
1622,yogurt,01-01-2024,Other
7808,sausage,01-01-2024,Other
6921,bottled beer,01-01-2024,Other
9939,chocolate,01-01-2024,Dairy
4915,coffee,01-01-2024,Beverages
5752,frankfurter,01-01-2024,Other
8051,meat,01-01-2024,Dairy
2782,cat food,01-01-2024,Dairy
6986,shopping bags,01-01-2024,Snacks
4740,root vegetables,01-01-2024,Beverages
5557,UHT-milk,01-01-2024,Other
6983,berries,01-01-2024,Meat
7676,newspapers,01-01-2024,Other
5355,rolls/buns,01-01-2024,Other
1768,domestic eggs,01-01-2024,Other
2637,ham,01-01-2024,Snacks
7182,specialty bar,01-01-2024,Meat
7045,white wine,01-01-2024,Other
3696,margarine,01-01-2024,Other
8322,condensed milk,01-01-2024,Other
2785,rolls/buns,01-01-2024,Other
3217,waffles,01-01-2024,Other
5287,other vegetables,01-01-2024,Other
1011,bottled water,01-01-2024,Other
1002,liver loaf,01-01-2024,Other
3907,pasta,01-01-2024,Dairy
3798,long life bakery product,01-01-2024,Other
4941,whole milk,01-01-2024,Other
9683,ice cream,01-01-2024,Other
9136,canned beer,01-01-2024,Other
4031,margarine,01-01-2024,Other
5236,chocolate marshmallow,01-01-2024,Other
4086,pip fruit,01-01-2024,Dairy
2038,yogurt,01-01-2024,Other
6918,dessert,01-01-2024,Dairy
9327,zwieback,01-01-2024,Canned Goods
1006,grapes,01-01-2024,Other
7149,whole milk,01-01-2024,Other
5692,frankfurter,01-01-2024,Other
1930,margarine,01-01-2024,Other
7040,tropical fruit,01-01-2024,Dairy
8322,brown bread,01-01-2024,Other
8927,tropical fruit,01-01-2024,Beverages
9888,napkins,01-01-2024,Other
3689,curd,01-01-2024,Beverages
3178,citrus fruit,01-01-2024,Meat
1893,shopping bags,01-01-2024,Other
5373,sausage,01-01-2024,Dairy
1122,whipped/sour cream,01-01-2024,Other
5250,other vegetables,01-01-2024,Other
3613,nuts/prunes,01-01-2024,Beverages
6184,specialty chocolate,01-01-2024,Other
9136,other vegetables,01-01-2024,Other
2175,citrus fruit,01-01-2024,Meat
5031,yogurt,01-01-2024,Dairy
9974,soda,01-01-2024,Other
9136,sugar,01-01-2024,Other
4288,whole milk,01-01-2024,Dairy
4338,bottled water,01-01-2024,Other
8287,citrus fruit,01-01-2024,Other
9140,soda,01-01-2024,Other
7714,tropical fruit,01-01-2024,Other
9828,white wine,01-01-2024,Other
9306,whole milk,01-01-2024,Other
4740,root vegetables,01-01-2024,Other
5843,tropical fruit,01-01-2024,Other
9100,whole milk,01-01-2024,Other
8243,domestic eggs,01-01-2024,Other
4543,canned beer,01-01-2024,Other
8984,newspapers,01-01-2024,Other
4190,whole milk,01-01-2024,Other
2122,beverages,01-01-2024,Meat
6817,other vegetables,01-01-2024,Dairy
1943,newspapers,01-01-2024,Beverages
8387,white wine,01-01-2024,Dairy
9759,whole milk,01-01-2024,Other
2544,pip fruit,01-01-2024,Other
2637,pastry,01-01-2024,Other
2368,whipped/sour cream,01-01-2024,Meat
1004,other vegetables,01-01-2024,Other
2719,yogurt,01-01-2024,Other
2497,cereals,01-01-2024,Dairy
3482,root vegetables,01-01-2024,Other
6380,candy,01-01-2024,Other
3025,specialty bar,01-01-2024,Other
9081,canned fish,01-01-2024,Other
3315,whipped/sour cream,01-01-2024,Other
5255,yogurt,01-01-2024,Other
1040,pork,01-01-2024,Beverages
6097,ham,01-01-2024,Beverages
4249,shopping bags,01-01-2024,Other
1707,bottled water,01-01-2024,Other
4495,dish cleaner,01-01-2024,Other
3906,chicken,01-01-2024,Other
3112,dishes,01-01-2024,Other
7743,rolls/buns,01-01-2024,Other
5289,bottled beer,01-01-2024,Other
9624,newspapers,01-01-2024,Beverages
2541,margarine,01-01-2024,Other
1769,canned beer,01-01-2024,Beverages
3045,berries,01-01-2024,Other
2415,white bread,01-01-2024,Other
2785,butter,01-01-2024,Other
4901,domestic eggs,01-01-2024,Other
1867,soda,01-01-2024,Other
1677,hamburger meat,01-01-2024,Other
9375,soda,01-01-2024,Other
3004,specialty bar,01-01-2024,Other
8150,napkins,01-01-2024,Other
6185,other vegetables,01-01-2024,Other
8129,rice,01-01-2024,Dairy
5310,sausage,01-01-2024,Meat
9249,newspapers,01-01-2024,Other
6643,liquor (appetizer),01-01-2024,Beverages
8941,rolls/buns,01-01-2024,Other
3141,tropical fruit,01-01-2024,Other
9358,frankfurter,01-01-2024,Other
8899,rolls/buns,01-01-2024,Other
3536,rolls/buns,01-01-2024,Dairy
7313,cream cheese ,01-01-2024,Other
7680,nuts/prunes,01-01-2024,Other
4027,candy,01-01-2024,Snacks
8535,other vegetables,01-01-2024,Other
5636,citrus fruit,01-01-2024,Beverages
1609,herbs,01-01-2024,Other
5566,other vegetables,01-01-2024,Other
7484,whipped/sour cream,01-01-2024,Dairy
7104,whole milk,01-01-2024,Other
2901,margarine,01-01-2024,Other
6207,whole milk,01-01-2024,Other
2472,citrus fruit,01-01-2024,Other
9719,coffee,01-01-2024,Other
9332,fruit/vegetable juice,01-01-2024,Other
5450,curd,01-01-2024,Other
3032,brown bread,01-01-2024,Dairy
7676,brown bread,01-01-2024,Dairy
8559,citrus fruit,01-01-2024,Other
2275,whole milk,01-01-2024,Other
7973,root vegetables,01-01-2024,Beverages
3424,misc. beverages,01-01-2024,Other
8825,frozen fish,01-01-2024,Other
9217,other vegetables,01-01-2024,Other
1977,nut snack,01-01-2024,Other
6700,canned vegetables,01-01-2024,Other
8243,yogurt,01-01-2024,Other
5243,frozen vegetables,01-01-2024,Other
7154,coffee,01-01-2024,Other
7182,bottled beer,01-01-2024,Other
4955,tropical fruit,01-01-2024,Other
1639,frozen potato products,01-01-2024,Other
1428,ice cream,01-01-2024,Other
8899,rolls/buns,01-01-2024,Other
4805,whole milk,01-01-2024,Other
1919,grapes,01-01-2024,Other
3164,sausage,01-01-2024,Other
3522,whole milk,01-01-2024,Other
5083,domestic eggs,01-01-2024,Other
5168,pasta,01-01-2024,Dairy
1428,napkins,01-01-2024,Other
9432,domestic eggs,01-01-2024,Dairy
6260,butter milk,01-01-2024,Other
9216,citrus fruit,01-01-2024,Other
7083,sugar,01-01-2024,Other
8312,whole milk,01-01-2024,Other
8992,coffee,01-01-2024,Other
3666,pork,01-01-2024,Other
9417,bottled water,01-01-2024,Other
3320,bottled beer,01-01-2024,Other
2510,cream cheese ,01-01-2024,Other
9827,napkins,01-01-2024,Other
4782,margarine,01-01-2024,Other
8245,white bread,01-01-2024,Dairy
8229,candy,01-01-2024,Dairy
5345,salty snack,01-01-2024,Other
5079,pot plants,01-01-2024,Other
6113,pastry,01-01-2024,Other
9974,flower (seeds),01-01-2024,Meat
7973,tropical fruit,01-01-2024,Other
5419,dessert,01-01-2024,Meat
7991,other vegetables,01-01-2024,Meat
2735,semi-finished bread,01-01-2024,Other
6643,soda,01-01-2024,Other
1213,liver loaf,01-01-2024,Other
2917,whipped/sour cream,01-01-2024,Other
1919,whole milk,01-01-2024,Other
2474,meat,01-01-2024,Dairy
7684,whole milk,01-01-2024,Dairy
5079,citrus fruit,01-01-2024,Other
5708,beef,01-01-2024,Dairy
2649,tropical fruit,01-01-2024,Other
1212,other vegetables,01-01-2024,Other
3032,root vegetables,01-01-2024,Other
5767,rum,01-01-2024,Other
9587,canned beer,01-01-2024,Other
4565,other vegetables,01-01-2024,Other
7309,bottled beer,01-01-2024,Dairy
1296,bottled beer,01-01-2024,Other
9358,pip fruit,01-01-2024,Dairy
3015,pet care,01-01-2024,Canned Goods
3077,whole milk,01-01-2024,Beverages
9025,frozen vegetables,01-01-2024,Other
6150,specialty cheese,01-01-2024,Other
1911,soda,01-01-2024,Other
7741,pork,01-01-2024,Other
6863,hamburger meat,01-01-2024,Other
1212,chocolate,01-01-2024,Other
7741,misc. beverages,01-01-2024,Meat
1092,whole milk,01-01-2024,Other
3821,whole milk,01-01-2024,Other
7634,pickled vegetables,01-01-2024,Other
5626,hamburger meat,01-01-2024,Other
4190,canned beer,01-01-2024,Other
9081,meat,01-01-2024,Other
5430,soda,01-01-2024,Other
7492,pasta,01-01-2024,Meat
9022,canned beer,01-01-2024,Other
5859,yogurt,01-01-2024,Dairy
5221,waffles,01-01-2024,Other
1232,fruit/vegetable juice,01-01-2024,Other
4900,sausage,01-01-2024,Meat
3861,specialty chocolate,01-01-2024,Other
5566,UHT-milk,01-01-2024,Other
9402,yogurt,01-01-2024,Other
3303,bottled water,01-01-2024,Other
1360,coffee,01-01-2024,Other
5654,sliced cheese,01-01-2024,Dairy
9111,whole milk,01-01-2024,Beverages
7808,specialty bar,01-01-2024,Beverages
6699,whole milk,01-01-2024,Dairy
7638,butter milk,01-01-2024,Other
5177,soda,01-01-2024,Dairy
2901,bottled water,01-01-2024,Other
1511,sweet spreads,01-01-2024,Meat
1468,flower soil/fertilizer,01-01-2024,Beverages
5577,rolls/buns,01-01-2024,Other
4086,root vegetables,01-01-2024,Beverages
1719,other vegetables,01-01-2024,Other
5767,soda,01-01-2024,Other
3978,tropical fruit,01-01-2024,Other
6295,pastry,01-01-2024,Dairy
7313,domestic eggs,01-01-2024,Other
7725,whipped/sour cream,01-01-2024,Other
2841,white wine,01-01-2024,Other
9391,frankfurter,01-01-2024,Other
3412,yogurt,01-01-2024,Other
3648,canned beer,01-01-2024,Other
7276,chewing gum,01-01-2024,Other
6196,other vegetables,01-01-2024,Other
7801,fruit/vegetable juice,01-01-2024,Other
7450,yogurt,01-01-2024,Other
6460,soda,01-01-2024,Dairy
6321,chocolate,01-01-2024,Other
6801,other vegetables,01-01-2024,Other
2275,frankfurter,01-01-2024,Other
7409,newspapers,01-01-2024,Other
8590,whipped/sour cream,01-01-2024,Other
1780,pasta,01-01-2024,Other
7458,sliced cheese,01-01-2024,Other
1505,newspapers,01-01-2024,Other
1794,shopping bags,01-01-2024,Other
3119,brown bread,01-01-2024,Other
7743,other vegetables,01-01-2024,Other
4033,tropical fruit,01-01-2024,Beverages
2917,soft cheese,01-01-2024,Other
1319,brown bread,01-01-2024,Dairy
9316,pork,01-01-2024,Other
2005,beef,01-01-2024,Other
3077,tropical fruit,01-01-2024,Other
8413,frozen meals,01-01-2024,Beverages
3798,mustard,01-01-2024,Other
8129,sausage,01-01-2024,Meat
5287,grapes,01-01-2024,Meat
1214,other vegetables,01-01-2024,Other
9925,whole milk,01-01-2024,Other
4333,brown bread,01-01-2024,Other
3141,whipped/sour cream,01-01-2024,Other
8988,liqueur,01-01-2024,Beverages
2968,dessert,01-01-2024,Other
4716,hard cheese,01-01-2024,Other
1113,margarine,01-01-2024,Other
1665,citrus fruit,01-01-2024,Other
7695,brown bread,01-01-2024,Other
8464,liquor (appetizer),01-01-2024,Other
2917,specialty bar,01-01-2024,Other
6827,pet care,01-01-2024,Dairy
6159,citrus fruit,01-01-2024,Other
4477,white bread,01-01-2024,Dairy
9716,roll products ,01-01-2024,Dairy
2785,dessert,01-01-2024,Other
9405,fruit/vegetable juice,01-01-2024,Meat
2901,rolls/buns,01-01-2024,Other
2038,domestic eggs,01-01-2024,Beverages
8109,whole milk,01-01-2024,Other
9630,pasta,01-01-2024,Other
2682,citrus fruit,01-01-2024,Other
8544,margarine,01-01-2024,Beverages
6716,butter,01-01-2024,Other
5293,root vegetables,01-01-2024,Beverages
2628,butter milk,01-01-2024,Dairy
3933,rolls/buns,01-01-2024,Other
1002,cereals,01-01-2024,Other
1607,canned beer,01-01-2024,Meat
5789,yogurt,01-01-2024,Dairy
1209,root vegetables,01-01-2024,Dairy
1177,fruit/vegetable juice,01-01-2024,Dairy
2115,coffee,01-01-2024,Other
7813,curd,01-01-2024,Other
7078,hamburger meat,01-01-2024,Other
5430,beef,01-01-2024,Dairy
8413,yogurt,01-01-2024,Other
7933,waffles,01-01-2024,Other
5566,red/blush wine,01-01-2024,Meat
2226,soda,01-01-2024,Other
2504,cat food,01-01-2024,Other
7605,whole milk,01-01-2024,Other
5317,white bread,01-01-2024,Other
2805,root vegetables,01-01-2024,Other
3637,canned fruit,01-01-2024,Dairy
5815,fruit/vegetable juice,01-01-2024,Meat
9783,bottled beer,01-01-2024,Meat
6322,rolls/buns,01-01-2024,Other
3330,rolls/buns,01-01-2024,Other
9956,dishes,01-01-2024,Other
3462,whole milk,01-01-2024,Other
3842,whole milk,01-01-2024,Dairy
9404,grapes,01-01-2024,Meat
7154,onions,01-01-2024,Beverages
5433,hygiene articles,01-01-2024,Other
8057,citrus fruit,01-01-2024,Other
7888,rolls/buns,01-01-2024,Other
5986,coffee,01-01-2024,Dairy
4863,other vegetables,01-01-2024,Meat
6339,specialty bar,01-01-2024,Other
4839,pip fruit,01-01-2024,Meat
6321,white bread,01-01-2024,Other
7888,citrus fruit,01-01-2024,Other
8099,hygiene articles,01-01-2024,Other
2463,bottled water,01-01-2024,Other
3330,canned beer,01-01-2024,Other
1639,whole milk,01-01-2024,Dairy
5243,whole milk,01-01-2024,Other
5079,whole milk,01-01-2024,Other
6843,soda,01-01-2024,Other
9734,root vegetables,01-01-2024,Other
9263,processed cheese,01-01-2024,Other
3731,other vegetables,01-01-2024,Other
7296,bottled beer,01-01-2024,Meat
5621,brandy,01-01-2024,Other
1919,bottled water,01-01-2024,Other
7888,cream cheese ,01-01-2024,Other
6315,chocolate,01-01-2024,Other
6159,liver loaf,01-01-2024,Other
2742,whole milk,01-01-2024,Other
5255,root vegetables,01-01-2024,Other
3756,whole milk,01-01-2024,Other
9828,sweet spreads,01-01-2024,Other
5107,pickled vegetables,01-01-2024,Other
3765,rolls/buns,01-01-2024,Other
3871,rolls/buns,01-01-2024,Other
4900,whole milk,01-01-2024,Meat
4531,citrus fruit,01-01-2024,Other
3077,pip fruit,01-01-2024,Other
2880,pot plants,01-01-2024,Other
2463,packaged fruit/vegetables,01-01-2024,Other
8461,citrus fruit,01-01-2024,Other
1769,bottled beer,01-01-2024,Other
8867,whole milk,01-01-2024,Other
3164,chocolate marshmallow,01-01-2024,Other
4847,rolls/buns,01-01-2024,Meat
9316,semi-finished bread,01-01-2024,Other
7869,yogurt,01-01-2024,Meat
3312,sugar,01-01-2024,Other
8824,brown bread,01-01-2024,Other
3803,semi-finished bread,01-01-2024,Dairy
7274,other vegetables,01-01-2024,Other
3992,pastry,01-01-2024,Other
7345,napkins,01-01-2024,Other
7209,curd,01-01-2024,Other
6378,bottled water,01-01-2024,Other
1504,white wine,01-01-2024,Other
2356,white wine,01-01-2024,Other
1609,cream cheese ,01-01-2024,Other
6150,yogurt,01-01-2024,Beverages
7277,whole milk,01-01-2024,Other
1361,root vegetables,01-01-2024,Other
9917,beef,01-01-2024,Other
1841,yogurt,01-01-2024,Dairy
1477,brown bread,01-01-2024,Other
7102,waffles,01-01-2024,Other
9801,cat food,01-01-2024,Other
9073,pork,01-01-2024,Other
8988,bottled water,01-01-2024,Other
8901,sausage,01-01-2024,Snacks
7676,rolls/buns,01-01-2024,Other
4392,whipped/sour cream,01-01-2024,Other
3798,pastry,01-01-2024,Other
5287,citrus fruit,01-01-2024,Other
8941,packaged fruit/vegetables,01-01-2024,Beverages
2495,UHT-milk,01-01-2024,Other
1815,whole milk,01-01-2024,Other
6378,pastry,01-01-2024,Dairy
3927,chocolate,01-01-2024,Other
4117,soda,01-01-2024,Meat
4974,bottled beer,01-01-2024,Other
7554,coffee,01-01-2024,Other
3821,cling film/bags,01-01-2024,Other
3613,meat,01-01-2024,Dairy
8408,popcorn,01-01-2024,Meat
1424,curd,01-01-2024,Other
1665,pip fruit,01-01-2024,Other
2844,chocolate,01-01-2024,Meat
6184,beef,01-01-2024,Other
6260,beverages,01-01-2024,Other
4443,soda,01-01-2024,Other
7634,salt,01-01-2024,Dairy
5006,domestic eggs,01-01-2024,Other
9193,whole milk,01-01-2024,Other
4493,white bread,01-01-2024,Other
7249,shopping bags,01-01-2024,Beverages
7450,sweet spreads,01-01-2024,Other
8984,tropical fruit,01-01-2024,Other
4414,root vegetables,01-01-2024,Meat
5236,other vegetables,01-01-2024,Other
5691,citrus fruit,01-01-2024,Other
4273,sausage,01-01-2024,Beverages
3906,candy,01-01-2024,Other
5179,soda,01-01-2024,Beverages
8146,citrus fruit,01-01-2024,Other
7296,long life bakery product,01-01-2024,Beverages
6716,sausage,01-01-2024,Other
1323,whole milk,01-01-2024,Other
4083,chocolate marshmallow,01-01-2024,Other
2472,fruit/vegetable juice,01-01-2024,Other
1887,ice cream,01-01-2024,Other
8243,shopping bags,01-01-2024,Other
2643,cream cheese ,01-01-2024,Other
6641,frozen meals,01-01-2024,Other
3765,soda,01-01-2024,Other
7035,other vegetables,01-01-2024,Other
2742,coffee,01-01-2024,Other
7345,specialty bar,01-01-2024,Dairy
6418,newspapers,01-01-2024,Beverages
7982,bottled water,01-01-2024,Meat
2038,whole milk,01-01-2024,Beverages
1835,butter milk,01-01-2024,Other
5205,soda,01-01-2024,Beverages
6184,other vegetables,01-01-2024,Other
5255,beef,01-01-2024,Other
7299,pip fruit,01-01-2024,Dairy
5049,citrus fruit,01-01-2024,Other
7743,rolls/buns,01-01-2024,Beverages
8944,pip fruit,01-01-2024,Other
3933,pip fruit,01-01-2024,Other
7377,whipped/sour cream,01-01-2024,Other
7991,yogurt,01-01-2024,Other
1840,bottled beer,01-01-2024,Other
7605,whole milk,01-01-2024,Dairy
4667,newspapers,01-01-2024,Other
7705,processed cheese,01-01-2024,Other
5789,butter,01-01-2024,Beverages
2558,candy,01-01-2024,Other
1893,whole milk,01-01-2024,Other
3423,grapes,01-01-2024,Other
1623,tropical fruit,01-01-2024,Other
3368,grapes,01-01-2024,Other
1677,brown bread,01-01-2024,Other
8901,sugar,01-01-2024,Other
4915,bottled beer,01-01-2024,Other
9974,long life bakery product,01-01-2024,Dairy
4621,sausage,01-01-2024,Other
1822,roll products ,01-01-2024,Beverages
1938,beef,01-01-2024,Other
4931,beverages,01-01-2024,Other
6551,margarine,01-01-2024,Meat
7621,whole milk,01-01-2024,Meat
8776,pork,01-01-2024,Other
3178,baking powder,01-01-2024,Other
1699,rolls/buns,01-01-2024,Canned Goods
2798,waffles,01-01-2024,Other
9263,UHT-milk,01-01-2024,Snacks
2340,white bread,01-01-2024,Beverages
2880,flour,01-01-2024,Other
1893,long life bakery product,01-01-2024,Other
4901,sugar,01-01-2024,Beverages
6767,hamburger meat,01-01-2024,Beverages
1865,curd,01-01-2024,Meat
1867,coffee,01-01-2024,Other
7273,rolls/buns,01-01-2024,Other
9357,newspapers,01-01-2024,Beverages
1505,candy,01-01-2024,Meat
7211,chocolate,01-01-2024,Other
4901,oil,01-01-2024,Other
4317,root vegetables,01-01-2024,Other
9402,other vegetables,01-01-2024,Other
8888,coffee,01-01-2024,Other
2303,newspapers,01-01-2024,Dairy
5193,bottled beer,01-01-2024,Dairy
4028,soda,01-01-2024,Other
6861,rolls/buns,01-01-2024,Other
9770,canned beer,01-01-2024,Meat
8590,curd,01-01-2024,Other
7554,berries,01-01-2024,Beverages
7193,pork,01-01-2024,Other
8941,long life bakery product,01-01-2024,Other
5692,whole milk,01-01-2024,Other
1361,whole milk,01-01-2024,Other
6722,whole milk,01-01-2024,Other
1111,bottled water,01-01-2024,Other
2226,frozen dessert,01-01-2024,Other
4126,tropical fruit,01-01-2024,Other
1500,pip fruit,01-01-2024,Beverages
8235,pastry,01-01-2024,Other
3025,margarine,01-01-2024,Other
7484,canned beer,01-01-2024,Meat
1551,other vegetables,01-01-2024,Other
8147,rolls/buns,01-01-2024,Other
6551,root vegetables,01-01-2024,Other
6921,condensed milk,01-01-2024,Other
6207,pastry,01-01-2024,Other
8283,pastry,01-01-2024,Other
5566,other vegetables,01-01-2024,Meat
9067,soda,01-01-2024,Other
3919,other vegetables,01-01-2024,Beverages
5419,canned beer,01-01-2024,Beverages
9830,whole milk,01-01-2024,Other
1939,jam,01-01-2024,Other
3442,roll products ,01-01-2024,Other
4692,napkins,01-01-2024,Other
6827,whole milk,01-01-2024,Other
8863,long life bakery product,01-01-2024,Other
7252,whole milk,01-01-2024,Other
3285,butter,01-01-2024,Dairy
6542,spread cheese,01-01-2024,Other
1232,canned fish,01-01-2024,Other
3580,whole milk,01-01-2024,Other
2735,other vegetables,01-01-2024,Other
9417,bottled water,01-01-2024,Other
8888,waffles,01-01-2024,Meat
5255,bottled water,01-01-2024,Other
8416,frozen dessert,01-01-2024,Other
7857,red/blush wine,01-01-2024,Other
7226,waffles,01-01-2024,Other
9310,pork,01-01-2024,Dairy
6991,berries,01-01-2024,Other
8424,root vegetables,01-01-2024,Other
8150,ice cream,01-01-2024,Other
4056,soda,01-01-2024,Other
3015,yogurt,01-01-2024,Beverages
4281,cling film/bags,01-01-2024,Other
3394,specialty chocolate,01-01-2024,Beverages
8361,liver loaf,01-01-2024,Other
1996,napkins,01-01-2024,Other
5789,chicken,01-01-2024,Other
2825,whole milk,01-01-2024,Other
8899,spices,01-01-2024,Other
7182,root vegetables,01-01-2024,Dairy
7238,butter,01-01-2024,Other
5358,whole milk,01-01-2024,Beverages
6850,UHT-milk,01-01-2024,Other
7061,bottled beer,01-01-2024,Other
5052,shopping bags,01-01-2024,Other
3716,whole milk,01-01-2024,Other
4782,citrus fruit,01-01-2024,Other
9263,soda,01-01-2024,Canned Goods
5645,canned beer,01-01-2024,Other
5014,shopping bags,01-01-2024,Meat
6378,rolls/buns,01-01-2024,Other
8408,other vegetables,01-01-2024,Beverages
8544,cat food,01-01-2024,Other
4338,dessert,01-01-2024,Other
2118,citrus fruit,01-01-2024,Other
6285,yogurt,01-01-2024,Other
2496,meat,01-01-2024,Dairy
5293,canned beer,01-01-2024,Other
8791,bottled beer,01-01-2024,Other
2298,newspapers,01-01-2024,Dairy
8944,domestic eggs,01-01-2024,Dairy
7958,yogurt,01-01-2024,Other
1006,soft cheese,01-01-2024,Other
2695,specialty bar,01-01-2024,Dairy
4667,chocolate marshmallow,01-01-2024,Other
3343,shopping bags,01-01-2024,Other
5006,whole milk,01-01-2024,Other
7717,soda,01-01-2024,Other
8243,frankfurter,01-01-2024,Canned Goods
9319,soda,01-01-2024,Other
7538,shopping bags,01-01-2024,Other
8410,whole milk,01-01-2024,Other
8590,beef,01-01-2024,Canned Goods
6460,berries,01-01-2024,Other
8401,ham,01-01-2024,Beverages
9249,liquor,01-01-2024,Other
2573,soda,01-01-2024,Other
7605,brown bread,01-01-2024,Other
2928,sliced cheese,01-01-2024,Other
2917,prosecco,01-01-2024,Dairy
7216,shopping bags,01-01-2024,Other
8147,specialty chocolate,01-01-2024,Other
9827,pickled vegetables,01-01-2024,Other
6100,pip fruit,01-01-2024,Other
4126,abrasive cleaner,01-01-2024,Other
9903,rolls/buns,01-01-2024,Other
2275,canned beer,01-01-2024,Dairy
4117,red/blush wine,01-01-2024,Other
3906,cake bar,01-01-2024,Other
1768,whole milk,01-01-2024,Other
6730,flour,01-01-2024,Beverages
8884,other vegetables,01-01-2024,Other
5014,flour,01-01-2024,Other
3053,liquor (appetizer),01-01-2024,Other
1794,pot plants,01-01-2024,Other
1536,shopping bags,01-01-2024,Dairy
1607,pudding powder,01-01-2024,Other
1074,long life bakery product,01-01-2024,Dairy
3752,other vegetables,01-01-2024,Other
7081,rolls/buns,01-01-2024,Other
7193,sausage,01-01-2024,Other
1618,butter,01-01-2024,Other
6809,whole milk,01-01-2024,Other
1644,turkey,01-01-2024,Other
5083,citrus fruit,01-01-2024,Dairy
8094,brown bread,01-01-2024,Other
5028,yogurt,01-01-2024,Other
8413,pet care,01-01-2024,Dairy
6480,whole milk,01-01-2024,Dairy
8582,shopping bags,01-01-2024,Other
2901,citrus fruit,01-01-2024,Other
3829,beef,01-01-2024,Other
8191,whole milk,01-01-2024,Other
3798,hard cheese,01-01-2024,Beverages
2497,chocolate marshmallow,01-01-2024,Other
6538,UHT-milk,01-01-2024,Other
4288,soda,01-01-2024,Meat
8984,seasonal products,01-01-2024,Other
7149,brown bread,01-01-2024,Other
5659,napkins,01-01-2024,Other
7973,cream cheese ,01-01-2024,Dairy
2472,bottled water,01-01-2024,Other
9216,brown bread,01-01-2024,Other
7904,bottled water,01-01-2024,Other
3024,shopping bags,01-01-2024,Other
5654,liver loaf,01-01-2024,Other
8139,other vegetables,01-01-2024,Beverages
3343,frankfurter,01-01-2024,Other
5243,other vegetables,01-01-2024,Other
9371,yogurt,01-01-2024,Dairy
6581,frankfurter,01-01-2024,Meat
7695,soda,01-01-2024,Other
1151,pork,01-01-2024,Dairy
8461,frankfurter,01-01-2024,Other
5907,yogurt,01-01-2024,Other
3871,sausage,01-01-2024,Other
8322,fruit/vegetable juice,01-01-2024,Other
4028,mayonnaise,01-01-2024,Other
6730,yogurt,01-01-2024,Other
4414,rolls/buns,01-01-2024,Other
1919,frankfurter,01-01-2024,Meat
3345,whole milk,01-01-2024,Other
2749,margarine,01-01-2024,Other
4595,bottled beer,01-01-2024,Other
3613,whole milk,01-01-2024,Other
1364,whole milk,01-01-2024,Other
5031,sliced cheese,01-01-2024,Other
2866,frozen meals,01-01-2024,Other
7273,meat,01-01-2024,Other
8709,specialty chocolate,01-01-2024,Other
1996,other vegetables,01-01-2024,Other
8599,sausage,01-01-2024,Other
9465,frankfurter,01-01-2024,Other
1603,curd,01-01-2024,Other
3462,ham,01-01-2024,Other
4031,coffee,01-01-2024,Other
9683,grapes,01-01-2024,Other
7061,margarine,01-01-2024,Dairy
3834,yogurt,01-01-2024,Other
9397,hard cheese,01-01-2024,Other
8169,coffee,01-01-2024,Meat
6252,newspapers,01-01-2024,Other
5310,pork,01-01-2024,Other
5287,bottled beer,01-01-2024,Canned Goods
1765,pastry,01-01-2024,Other
2573,whole milk,01-01-2024,Other
6581,white wine,01-01-2024,Other
6224,beef,01-01-2024,Beverages
8076,semi-finished bread,01-01-2024,Dairy
3312,whole milk,01-01-2024,Dairy
5530,whole milk,01-01-2024,Other
5717,whisky,01-01-2024,Other
5470,butter milk,01-01-2024,Dairy
2677,sliced cheese,01-01-2024,Dairy
2844,other vegetables,01-01-2024,Other
1040,misc. beverages,01-01-2024,Beverages
1723,other vegetables,01-01-2024,Other
3372,root vegetables,01-01-2024,Other
1006,berries,01-01-2024,Other
8515,rolls/buns,01-01-2024,Other
1428,yogurt,01-01-2024,Other
2558,soda,01-01-2024,Beverages
2805,whole milk,01-01-2024,Dairy
